Entry;Entry name;Status;Protein names;Gene names;Organism
Q8WXH0;SYNE2_HUMAN;reviewed;Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2);SYNE2 KIAA1011 NUA;Homo sapiens (Human)
Q8NF91;SYNE1_HUMAN;reviewed;Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1);SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1;Homo sapiens (Human)
Q12846;STX4_HUMAN;reviewed;Syntaxin-4 (Renal carcinoma antigen NY-REN-31);STX4 STX4A;Homo sapiens (Human)
Q8N6L0;KASH5_HUMAN;reviewed;Protein KASH5 (Coiled-coil domain-containing protein 155) (KASH domain-containing protein 5);CCDC155 KASH5;Homo sapiens (Human)
Q09013;DMPK_HUMAN;reviewed;Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase);DMPK DM1PK MDPK;Homo sapiens (Human)
P51809;VAMP7_HUMAN;reviewed;Vesicle-associated membrane protein 7 (VAMP-7) (Synaptobrevin-like protein 1) (Tetanus-insensitive VAMP) (Ti-VAMP);VAMP7 SYBL1;Homo sapiens (Human)
Q9UEU0;VTI1B_HUMAN;reviewed;Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1) (Vti1-rp1);VTI1B VTI1 VTI1L VTI1L1 VTI2;Homo sapiens (Human)
P63027;VAMP2_HUMAN;reviewed;Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2);VAMP2 SYB2;Homo sapiens (Human)
Q9P0L0;VAPA_HUMAN;reviewed;Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33);VAPA VAP33;Homo sapiens (Human)
O95292;VAPB_HUMAN;reviewed;Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C);VAPB UNQ484/PRO983;Homo sapiens (Human)
Q86Y07;VRK2_HUMAN;reviewed;Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2);VRK2;Homo sapiens (Human)
Q16623;STX1A_HUMAN;reviewed;Syntaxin-1A (Neuron-specific antigen HPC-1);STX1A STX1;Homo sapiens (Human)
Q9BV40;VAMP8_HUMAN;reviewed;Vesicle-associated membrane protein 8 (VAMP-8) (Endobrevin) (EDB);VAMP8;Homo sapiens (Human)
Q8N205;SYNE4_HUMAN;reviewed;Nesprin-4 (KASH domain-containing protein 4) (KASH4) (Nuclear envelope spectrin repeat protein 4);SYNE4 C19orf46;Homo sapiens (Human)
O15400;STX7_HUMAN;reviewed;Syntaxin-7;STX7;Homo sapiens (Human)
P27338;AOFB_HUMAN;reviewed;Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B);MAOB;Homo sapiens (Human)
Q15836;VAMP3_HUMAN;reviewed;Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3);VAMP3 SYB3;Homo sapiens (Human)
Q8N5Y8;PAR16_HUMAN;reviewed;Mono [ADP-ribose] polymerase PARP16 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 15) (Poly [ADP-ribose] polymerase 16) (PARP-16);PARP16 ARTD15 C15orf30;Homo sapiens (Human)
O14662;STX16_HUMAN;reviewed;Syntaxin-16 (Syn16);STX16;Homo sapiens (Human)
